股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,关注者
SZ300869,康泰医学,166.25,2.02,1536.32,25.01,159.586,0.161,66798718000,15234
SZ000990,诚志股份,13.64,2.02,-7.96,0.75,123.099,2.126,17091082575,17500
SZ002090,金智科技,8.64,2.01,-18.36,2.19,160.854,0.289,3492849047,9089
SZ002856,美芝股份,17.26,2.01,-7.75,3.12,None,0,2335499066,5695
SZ000777,中核科技,13.22,2.01,9.5,1.63,43.984,0.809,5068780579,166218
SH600258,首旅酒店,16.74,2.01,-18.47,1.92,None,0.418,16542852384,25301
SZ300341,麦克奥迪,10.17,2.01,-32.37,2.45,36.906,0.295,5188361127,14921
SZ200017,*ST中华B,1.02,2,-39.64,0.23,None,0,562374906,3492
SZ002239,奥特佳,4.6,2,158.69,2.73,378.242,0.087,14404253318,32804
SH600248,延长化建,4.16,1.96,-5.02,0.77,20.084,0.481,3818683116,6768
SZ300747,锐科激光,69.64,1.96,-11.21,1.93,115.566,0.13,20056320000,21608
SH600616,金枫酒业,4.7,1.95,21.54,1.48,None,0.491,3144323265,12205
SH603629,利通电子,29.6,1.93,7.83,7.54,67.406,0.676,2960000000,3107
SH603727,博迈科,18.02,1.92,-6.63,1.07,46.543,0.555,4220180421,6469
SZ300325,德威新材,3.72,1.92,18.1,13.74,None,0,3741364276,14126
SZ002469,三维工程,5.34,1.91,33.17,1.24,31.843,1.873,2687423614,14747
SZ300810,中科海讯,59.5,1.9,-18.34,14.54,203.405,0.158,4682650000,3265
SZ300772,运达股份,14.61,1.88,-16.59,7.01,34.756,1.027,4294755600,5633
SZ000961,中南建设,9.23,1.88,-9.94,0.76,7.119,3.034,34886068053,43245
SZ300109,新开源,18.5,1.87,13.16,2.96,52.792,0.108,5976776186,71694
SZ300879,大叶股份,41.31,1.87,290.45,23.27,75.208,None,6609600000,1980
SZ002684,*ST猛狮,3.84,1.86,-32.75,0.73,16.577,0,2178717654,21746
SZ000416,民生控股,6.62,1.85,20.13,3.6,138.551,0.453,3520989290,15264
SH601500,通用股份,6.07,1.85,-5.98,0.42,67.789,0.824,5294800846,6894
SH600630,龙头股份,6.68,1.83,-11.99,1.02,None,0,2838075468,36682
SH605388,均瑶健康,21.65,1.83,61.21,9.57,35.846,None,9309500000,3637
SH601919,中远海控,6.17,1.82,17.08,0.74,11.351,0,75641295331,126035
SZ002976,瑞玛工业,31.93,1.82,70.37,5.29,44.509,1.566,3193000000,2931
SZ002282,博深股份,10.08,1.82,21.3,0.9,63.37,0.531,4947517522,11966
SZ300625,三雄极光,19.77,1.8,23.72,4.25,22.34,1.517,5535600000,4233
SZ300392,腾信股份,12.42,1.8,65.82,6.57,326.565,0,4769280000,42478
SZ002867,周大生,24.04,1.78,29.04,0.39,20.746,1.872,17568807048,15376
SZ002654,万润科技,4.61,1.77,-16.18,2.47,None,0,4031470904,11699
SZ003002,壶化股份,14.92,1.77,81.51,30.18,35.226,None,2984000000,1390
SZ000599,青岛双星,4.62,1.76,-2.12,0.83,None,0.218,3798837656,17563
SZ300863,卡倍亿,168,1.75,794.09,42.05,151.522,None,9278640000,9699
SZ300868,杰美特,57.62,1.75,39.65,22.64,58.304,None,7375360000,2351
SH600568,*ST中珠,1.75,1.74,0,0.58,None,0,3487521942,12582
SZ300753,爱朋医疗,33.11,1.72,6.54,7.2,37.011,0.929,3477874400,9542
SH601318,中国平安,83.5,1.71,0.48,0.87,12.676,2.515,1526400157735,1380296
SH600339,中油工程,2.99,1.7,-10.24,0.48,16.701,1.472,16693610938,14816
SZ002420,ST毅昌,4.2,1.69,5.79,0.99,10.436,0,1684200000,6506
SZ300065,海兰信,13.86,1.69,14.03,1.86,112.891,0.216,5518692125,18033
SZ300340,科恒股份,13.26,1.69,4.97,6.09,None,0.377,2813038987,20857
SZ002259,*ST升达,3.62,1.69,61.61,1.58,None,0,2723428327,8143
SH688188,柏楚电子,248.6,1.68,58.9,4.45,74.929,None,24860000000,5683
SZ002431,棕榈股份,3.64,1.68,19.34,0.54,None,0,5412627038,52837
SZ002670,国盛金控,9.75,1.67,-23.29,1.43,None,0,18867075367,18452
SH600376,首开股份,6.73,1.66,-9.79,0.15,8.796,5.944,17360474079,47539
SH600550,保变电气,4.89,1.66,58.77,0.68,85.75,0,9005074267,38598
SZ300586,美联新材,11.12,1.65,-0.16,9.46,61.664,0.355,5070720000,8438
SH600738,兰州民百,6.16,1.65,24.7,1.57,38.799,4.908,4764541172,13053
SH601677,明泰铝业,14.26,1.64,25.07,4.27,9.366,0.701,8788464310,9172
SZ000585,*ST东电,1.87,1.63,-4.59,0.6,None,0,1633201900,13522
SZ002907,华森制药,16.8,1.63,1.09,0.35,48.04,0.262,6748974926,14696
SZ002841,视源股份,100.65,1.63,18.43,0.26,42.363,0.731,67255125236,33597
SH688013,天臣医疗,36.38,1.62,95.38,13.78,79.031,None,2910400000,1020
SH605100,华丰股份,49.93,1.61,26.63,7.24,24.636,0,4328931000,1350
SZ300835,龙磁科技,58.13,1.61,190.65,12.8,59.59,0.86,4108047100,2514
SZ002188,ST巴士,3.15,1.61,-11.02,0.64,1.691,0,921496511,12393
SZ002692,ST远程,3.15,1.61,-13.22,0.17,None,0,2262159900,6764
SH601800,中国交建,7.65,1.59,-13.91,0.32,7.441,3.043,123736726001,175896
SZ300761,立华股份,34.65,1.58,-40.2,1.28,17.168,2.886,13994442000,15878
SZ300460,惠伦晶体,13.68,1.56,16.57,4.31,None,0,3222787478,11980
SH601319,中国人保,7.15,1.56,-4.34,2.23,16.227,2.126,316201532668,53040
SH601003,柳钢股份,4.63,1.54,-10.26,0.14,6.399,9.719,11865732516,47709
SZ000920,南方汇通,7.89,1.54,20.2,1.68,49.493,0.976,3329580000,11833
SZ300488,恒锋工具,23.15,1.54,44.54,4.58,36.777,0.559,3835475355,15405
SZ300626,华瑞股份,11.96,1.53,41.82,22.67,127.652,0.167,2152800000,2656
SH600604,市北高新,7.95,1.53,-10.14,1.79,49.486,0.151,14892773192,50366
SZ002355,兴民智通,5.97,1.53,-11.66,0.75,None,0.034,3704805288,15037
SZ300419,浩丰科技,13.27,1.53,116.12,38.68,None,0,4880092528,12699
SZ300295,三六五网,16.75,1.52,26.7,8.08,46.995,0,3220819813,24381
SH603766,隆鑫通用,4.03,1.51,10.67,1.01,14.732,2.481,8275773656,23412
SZ300273,和佳医疗,7.41,1.51,48.8,4.03,175.145,0,5887354490,83372
SH603722,阿科力,32.88,1.48,5.79,7.32,62.398,0.91,2891385000,12480
SH603798,康普顿,11.07,1.47,-19.27,1.3,26.832,0.452,2214000000,7001
SZ002226,江南化工,6.93,1.46,27.42,0.98,20.743,0.722,8655443112,16309
SZ000407,胜利股份,4.16,1.46,18.11,2.1,25.33,0.841,3661152169,10199
SZ200429,粤高速B,4.17,1.46,-26.53,0.14,14.554,11.079,8718661545,10210
SH688301,奕瑞科技,162.7,1.46,36.04,9.87,65.402,None,11803531290,1769
SZ000701,厦门信达,6.31,1.45,18.83,3.21,None,0,2642079383,15724
SZ000751,锌业股份,2.83,1.43,-12.38,0.77,19.377,0,3989930060,50504
SZ000509,*ST华塑,2.14,1.42,-10.83,0.32,None,0,1766533870,16519
SZ000807,云铝股份,5.72,1.42,11.28,2.63,23.137,0,17893341500,39099
SH600059,古越龙山,9.37,1.41,11.31,1.96,43.223,1.067,7575871426,39800
SZ200706,瓦轴B,2.87,1.41,1.99,0.02,None,3.045,1155462000,531
SZ002752,昇兴股份,5.76,1.41,-5.77,0.31,None,0.434,4799119789,10447
SZ300226,上海钢联,66,1.4,1.95,0.89,68.385,0.152,12601420920,35277
SZ000617,中油资本,7.25,1.4,-14.73,0.08,11.432,2.552,91655073323,13385
SZ002823,凯中精密,11.65,1.39,25.8,4,56.947,0.598,3344439885,7362
SZ300887,谱尼测试,95.3,1.38,114.3,17.06,43.711,None,7242800000,4171
SZ002801,微光股份,33.4,1.37,17.68,3.15,27.897,0.691,5113139200,7630
SH688300,联瑞新材,53.1,1.36,17.73,4.87,49.533,None,4565187540,2641
SZ001872,招商港口,15.6,1.36,-6.61,0.26,24.345,2.949,29988895934,5700
SZ002865,钧达股份,18.05,1.35,15.07,9.01,33.317,0.556,2173899817,6648
SZ000703,恒逸石化,12,1.35,15.89,1.02,11.545,2.573,44179744884,21783
SZ002930,宏川智慧,20.35,1.34,79.68,2.95,60.547,1.133,9035287994,18755
SZ000885,城发环境,10.64,1.33,7.42,0.55,21.568,0.915,6831712633,18065
SZ002236,大华股份,20.62,1.33,4.58,1.86,14.964,0.645,61890219229,175476
SH688567,孚能科技,30.63,1.32,92.64,6.88,None,None,32794612452,5222
SH603035,常熟汽饰,14.59,1.32,14.82,3.13,19.706,1.665,4894686173,11640
SH600559,老白干酒,13.06,1.32,17.92,10.88,35.776,1.149,11718574019,57011
SZ002103,广博股份,5.41,1.31,10.41,3.49,None,0,2890416676,17997
SZ300320,海达股份,6.97,1.31,45.01,6.07,20.781,0.803,4190602311,7765
SH601328,交通银行,4.65,1.31,-12.33,0.49,4.861,6.774,345321678899,364551
SZ002113,*ST天润,1.55,1.31,-20.92,2.81,None,0,2341347886,14204
SH600028,XD中国石,3.9,1.3,-18.69,0.13,140.071,6.667,472177717619,233400
SZ300089,文化长城,5.47,1.3,55.4,3.7,None,0,2631381079,11982
SH600456,宝钛股份,31.87,1.3,32.27,1.19,50.477,0.628,13712567859,43179
