股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,52周最低,52周最高
300401,花园生物,14.5,-1.49,16.47,1.03,28.888,0.0,6655454325.0,10.13,18.58
300218,安利股份,13.26,-1.49,69.76,1.37,77.857,0.905,2867824984.0,6.6404,14.61
000850,华茂股份,3.98,-1.49,-0.2,1.09,2182.415,1.256,3754662298.0,3.2869,5.4091
002279,久其软件,5.95,-1.49,-1.98,0.66,160.875,0.0,3803081914.0,5.51,8.75
601888,中国中免,193.06,-1.49,117.87,0.35,166.19,0.373,376944928525.0,66.2483,249.0
603663,三祥新材,15.14,-1.5,13.96,0.52,38.986,0.652,2903744294.0,10.4458,22.22
300256,星星科技,7.86,-1.5,30.13,1.89,24.968,0.0,7528296870.0,4.82,9.8
603160,汇顶科技,174.19,-1.5,-15.27,0.9,42.006,0.458,78957081318.0,155.78,386.6467
300012,华测检测,25.61,-1.5,72.09,0.58,83.8,0.137,38669410406.0,12.9753,28.16
603003,龙宇燃油,7.88,-1.5,-2.96,0.59,882.308,0.0,3282275328.0,6.01,11.7
002262,恩华药业,15.71,-1.5,35.93,0.74,23.058,0.637,13979526910.0,9.848,20.88
603021,山东华鹏,5.93,-1.5,-28.47,0.85,-22.734,0.0,1897292055.0,5.14,10.23
601908,京运通,5.26,-1.5,75.33,1.12,24.897,0.0,10483273107.0,2.58,6.12
600692,亚通股份,6.57,-1.5,2.82,0.79,275.855,0.0,1675419097.0,5.21,8.73
002588,史丹利,5.24,-1.5,34.66,0.72,41.821,0.382,4121718238.0,3.3639,6.88
600281,太化股份,3.91,-1.51,-5.1,0.4,26.987,0.0,2011311918.0,3.28,5.2
002449,国星光电,10.44,-1.51,-16.21,1.34,37.568,2.874,6330297612.0,9.2742,16.5124
600985,淮北矿业,10.44,-1.51,12.11,1.3,6.446,5.747,6787311076.0,7.2054,11.0
600965,福成股份,5.88,-1.51,-15.06,0.31,28.696,2.551,4813961615.0,5.86,8.5843
002708,光洋股份,6.54,-1.51,-19.36,0.78,222.972,0.0,2572270728.0,5.98,8.49
688289,圣湘生物,118.36,-1.51,134.47,7.42,37.487,None,3933404263.0,95.0,155.55
002608,江苏国信,6.53,-1.51,-15.3,0.05,11.845,0.0,24670860467.0,5.93,7.78
600686,金龙汽车,6.47,-1.52,-7.45,0.67,-52.18,0.386,3925598166.0,5.5069,7.6479
200521,虹美菱B,1.95,-1.52,-7.21,0.02,-11.85,2.787,315113331.0,1.3979,2.2848
300072,三聚环保,7.76,-1.52,23.53,2.3,-129.036,0.387,16833846159.0,3.5782,8.25
002676,顺威股份,3.23,-1.52,2.87,0.82,161.266,0.0,2325486414.0,2.45,5.81
300507,苏奥传感,14.93,-1.52,47.14,7.52,47.569,0.478,2830410469.0,6.4738,18.95
002506,协鑫集成,3.89,-1.52,-34.18,1.66,-118.487,0.0,19739608827.0,2.41,6.85
603927,中科软,38.79,-1.52,-42.02,1.1,42.497,1.16,12590774726.0,38.53,107.9587
600283,钱江水利,10.39,-1.52,-0.67,0.45,35.43,0.0,3667625926.0,7.86,17.86
000025,特力A,20.14,-1.52,-4.77,0.81,43.303,0.209,7910555365.0,16.2011,27.72
002436,兴森科技,10.96,-1.53,35.49,0.98,30.812,0.73,13825107830.0,6.6282,17.8476
002592,ST八菱,4.51,-1.53,-67.27,0.67,-3.198,0.0,1120200037.0,4.49,16.3
002405,四维图新,14.83,-1.53,-7.81,0.81,321.701,0.121,28417349069.0,12.7485,22.5797
002362,汉王科技,24.49,-1.53,53.25,5.58,117.691,0.0,4380121627.0,14.63,26.19
600535,天士力,16.75,-1.53,11.11,0.42,32.118,1.97,25337159336.0,13.0316,19.97
600773,西藏城投,5.81,-1.53,0.42,0.36,44.658,0.258,4334868272.0,4.6484,8.03
300088,长信科技,10.27,-1.53,1.05,1.33,27.024,0.968,24816151778.0,6.4226,14.003
002012,凯恩股份,5.76,-1.54,1.59,1.73,40.532,0.365,2687256812.0,4.5835,7.513
002263,大东南,2.55,-1.54,23.79,0.86,48.028,0.0,4789772355.0,1.8,3.07
000058,深赛格,7.67,-1.54,4.77,1.14,174.763,0.391,4128623837.0,5.8566,12.66
000090,天健集团,7.02,-1.54,40.89,0.65,5.859,5.413,13115431525.0,3.9579,9.83
603096,新经典,46.78,-1.54,-14.35,0.28,25.842,1.593,6356700300.0,46.78,70.89
600653,申华控股,1.92,-1.54,-5.88,0.46,-12.404,0.0,3737050209.0,1.56,2.59
300602,飞荣达,24.91,-1.54,-7.62,0.94,34.519,0.243,7057241538.0,24.5,40.9374
000972,ST中基,2.55,-1.54,-26.3,0.23,-28.932,0.0,1966773126.0,2.5,3.94
002079,苏州固锝,10.23,-1.54,-13.28,0.89,76.041,0.391,7432361757.0,6.486,15.9311
002403,爱仕达,8.96,-1.54,5.41,0.51,16.317,0.0,2827943337.0,7.5,9.77
000790,华神科技,5.1,-1.54,12.82,0.55,66.417,0.196,3141149736.0,4.0714,7.19
002130,沃尔核材,5.13,-1.54,4.29,0.77,25.619,0.39,6396308463.0,4.0028,6.38
002184,海得控制,14.7,-1.54,39.37,1.77,41.397,0.68,2307743504.0,8.7794,18.79
000707,ST双环,2.56,-1.54,-16.88,0.26,-5.074,0.0,1188209318.0,2.32,3.43
300999,金龙鱼,47.9,-1.54,86.38,20.85,38.085,None,17087766199.0,39.51,62.65
600213,亚星客车,7.02,-1.54,-19.12,1.15,-43.206,0.0,1544400000.0,6.62,9.75
603928,兴业股份,12.08,-1.55,-0.11,0.41,18.129,1.656,2435328000.0,9.7183,13.48
002537,海联金汇,6.97,-1.55,-0.71,1.09,-3.517,0.0,8627711616.0,4.75,10.96
002556,辉隆股份,8.91,-1.55,58.83,0.94,33.993,1.119,6398212221.0,4.642,10.45
603067,振华股份,7.0,-1.55,17.34,0.99,24.289,1.429,3018400000.0,4.6958,9.32
000032,深桑达A,20.97,-1.55,48.31,0.25,73.135,0.381,8627563566.0,11.6798,32.2
002817,黄山胶囊,14.62,-1.55,10.29,0.88,52.086,0.382,1411309536.0,10.9243,17.47
603527,众源新材,8.88,-1.55,6.77,0.35,27.522,1.77,2165157120.0,6.8195,11.93
300249,依米康,7.62,-1.55,20.57,4.4,-103.007,0.0,2326159305.0,5.12,10.3
603357,设计总院,10.18,-1.55,-1.29,0.32,15.163,2.161,4627244666.0,8.3031,11.8812
603859,能科股份,35.55,-1.55,29.01,0.72,49.627,0.141,4612757402.0,21.8151,51.6
300281,金明精机,7.59,-1.56,26.36,3.21,94.847,0.198,3015703672.0,5.438,8.88
600519,贵州茅台,1715.33,-1.56,46.69,0.15,49.132,0.993,2154793772274.0,948.9967,1828.0
002053,云南能投,7.57,-1.56,5.74,0.15,24.091,1.057,4226553074.0,5.8341,9.06
603929,亚翔集成,14.55,-1.56,-3.08,0.69,74.388,1.718,3104388000.0,11.6529,23.8475
900939,汇丽B,0.822,-1.56,24.73,0.13,70.973,0.0,72336000.0,0.402,0.996
603165,荣晟环保,13.89,-1.56,17.9,0.75,14.525,2.193,3478139382.0,10.4999,15.25
000949,新乡化纤,3.15,-1.56,-18.36,0.45,43.793,0.317,3959793659.0,3.011,5.3938
603933,睿能科技,12.63,-1.56,-20.16,0.44,178.359,0.792,2541575316.0,11.7805,17.2191
300087,荃银高科,20.85,-1.56,105.82,5.23,82.417,0.24,8214255610.0,7.5,24.8
300369,绿盟科技,19.44,-1.57,7.64,0.46,67.775,0.309,14182892530.0,17.0039,27.5591
600276,恒瑞医药,88.15,-1.57,21.16,0.28,79.941,0.217,466819297736.0,64.1616,105.0
000625,长安汽车,15.63,-1.57,55.83,1.71,34.191,0.0,60967057420.0,7.1,17.64
300313,天山生物,21.37,-1.57,292.83,8.03,-134.234,0.0,3935604896.0,4.08,34.66
