股票代码,股票名称,近3年,近5年,近10年,所有时间,当前市盈率(TTM),历史平均,历史最高,历史最低
SZ002585,双星新材,17.3,11.6,13.2,13.2,22.39,47.09,155.68,14.98
SH600153,建发股份,2.4,1.6,0.9,0.4,4.34,16.68,68.43,3.98
SZ002331,皖通科技,41.5,27.9,34,34,35.08,49.8,267.48,20.93
SH603197,保隆科技,44.5,44.5,44.5,44.5,26.16,27.34,44.2,15.99
SH603990,麦迪科技,99.8,99.8,99.8,99.8,229.35,93.83,230.23,47.57
SH600212,*ST江泉,1,1,1,1,13.6,144.5,1375.86,26.03
SH600358,*ST联合,1,1,1,1,9.64,603.18,9667.05,35.16
SZ002616,长青集团,0.4,0.3,0.2,0.2,17.55,51.86,140.87,17.27
SH600685,中船防务,10.1,4.6,2.1,4.4,11.38,154.14,2058.66,5.23
SH600528,中铁工业,0.5,0.3,4.4,2.5,11.54,42.06,296.25,9.51
SH603838,四通股份,1,1,1,1,218.3,70.12,201.58,34.61
SH603668,天马科技,70.9,70.9,70.9,70.9,46.31,41.32,78.43,22.64
SZ002677,浙江美大,68.4,45.3,43.6,43.6,25.18,32.11,84.44,15.2
SH603315,福鞍股份,20.3,13.9,13.9,13.9,33.46,173.88,1045.61,22.41
SZ002757,南兴股份,27.2,19.3,19.3,19.3,21.46,40.96,115.91,15.89
SZ000619,海螺型材,1.3,34.6,66.6,79.4,65.84,111.87,4004.2,11.14
SZ300658,延江股份,0.3,0.3,0.3,0.3,13.76,35.55,83.46,13.35
SZ000718,苏宁环球,11,7.4,4.3,2.3,7.44,39.38,531.67,5.91
SZ002026,山东威达,1,1,1,1,94.28,31.15,107.61,11.07
SZ002766,*ST索菱,92.8,81.6,81.6,81.6,98.01,61.84,203.72,16.62
SZ000066,中国长城,88.9,64.1,55.7,68.1,69.87,94.7,1089.12,6.59
SH600170,上海建工,19.4,13.3,7.5,3.7,8.44,20.24,48.39,6.96
SH600855,航天长峰,5,3.3,4.4,6.7,40.23,304.46,3789.48,32
SZ000068,华控赛格,98.6,99.2,99.4,99.8,4270.22,329.2,4339.32,10
SZ300498,温氏股份,0.4,0.3,0.3,0.3,7.08,30.53,107.17,7.04
SH601988,中国银行,15.1,10.3,18.9,14.2,5.42,9.33,36.29,4.37
SH600346,恒力石化,13.7,10,7.4,3.4,11.33,449.71,12223.8,7.86
SH600609,金杯汽车,80.7,73,69,81.6,110.67,79.6,659.91,4.89
SZ002572,索菲亚,81.8,55.1,36.2,36.2,26.49,32.85,62.23,13.62
SZ300427,红相股份,77.2,55.3,55.3,55.3,34.7,43.02,108.33,13.31
SH603788,宁波高发,51.6,36.8,36.8,36.8,21.84,26.23,55.54,11.7
SH603970,中农立华,61.5,61.5,61.5,61.5,23.94,23.24,37.29,17.82
SZ300510,金冠股份,1,1,1,1,4.43,55.76,132.87,24.68
SZ300636,同和药业,56,56,56,56,61.56,55.88,92.06,25.38
SZ300080,易成新能,77.9,39.8,22.6,22.6,19.86,113.02,771.35,14.24
SH603686,龙马环卫,34.9,24.9,24.9,24.9,20.62,30.68,65.79,11.27
SH601877,正泰电器,77.4,68.6,58.4,58.4,17.55,17.54,32.87,11.4
SZ002614,奥佳华,53.5,35.1,23.8,23.8,22.31,41.56,123.43,14.19
SZ000056,皇庭国际,1,1,1,1,100.45,205.38,1837.03,1.23
SZ002742,三圣股份,79.4,54.6,54.6,54.6,31.44,33.43,69.36,18.76
SZ002162,悦心健康,1.5,1.1,0.8,9.5,60.61,195.79,1039.45,23.32
SZ002479,富春环保,48.1,32,19.2,19.2,21.65,36.43,110.53,13.49
SZ002278,神开股份,71.6,63.1,79.2,80,89.37,72.34,382.54,28.57
SH603556,海兴电力,30.9,28.9,28.9,28.9,16.05,19.06,32.17,11.95
SH600665,天地源,72.3,49.3,30.9,14.2,9.65,111.31,1011.56,6.03
SZ000671,阳光城,16.5,11.1,7.9,3.9,6.97,54,1148.32,5.38
SZ002051,中工国际,98.9,88.9,57.8,48.6,20.05,21.84,62.92,7.44
SH900902,市北B股,16.7,12,24.4,41.4,17.75,152.97,5178.3,0.63
SH600959,江苏有线,93.4,95.3,95.3,95.3,86.84,45.6,96.06,20.92
SH600241,*ST时万,1,1,1,1,3.65,95.13,554.52,17.35
